episode,reward,pdr
923,14.5,1
924,19.5,1
925,14.5,1
926,7.0,1
927,14.5,1
928,9.5,1
929,14.5,1
930,14.5,1
931,14.5,1
932,17.0,1
933,14.5,1
934,14.5,1
935,17.0,1
936,14.5,1
937,9.5,1
938,14.5,1
939,14.5,1
940,17.0,1
941,12.0,1
942,17.0,1
943,12.0,1
944,14.5,1
945,17.0,1
946,9.5,1
947,14.5,1
948,17.0,1
949,9.5,1
950,17.0,1
951,17.0,1
952,17.0,1
953,14.5,1
954,12.0,1
955,17.0,1
956,17.0,1
957,14.5,1
958,19.5,1
959,17.0,1
960,17.0,1
961,7.0,1
962,17.0,1
963,17.0,1
964,17.0,1
965,17.0,1
966,17.0,1
967,19.5,1
968,14.5,1
969,17.0,1
970,17.0,1
971,14.5,1
972,14.5,1
973,17.0,1
974,14.5,1
975,17.0,1
976,17.0,1
977,14.5,1
978,17.0,1
979,17.0,1
980,17.0,1
981,17.0,1
982,17.0,1
983,19.5,1
984,12.0,1
985,14.5,1
986,17.0,1
987,7.0,1
988,9.5,1
989,19.5,1
990,4.5,1
991,17.0,1
992,-13.0,0
993,17.0,1
994,17.0,1
995,14.5,1
996,17.0,1
997,12.0,1
998,17.0,1
999,17.0,1
1000,-0.5,0
1001,17.0,1
1002,17.0,1
1003,19.5,1
1004,17.0,1
1005,17.0,1
1006,17.0,1
1007,14.5,1
1008,19.5,1
1009,19.5,1
1010,17.0,1
1011,14.5,1
1012,17.0,1
1013,14.5,1
1014,4.5,1
1015,-28.0,0
1016,17.0,1
1017,17.0,1
1018,19.5,1
1019,-10.5,0
1020,17.0,1
1021,19.5,1
1022,14.5,1
1023,17.0,1
1024,17.0,1
1025,17.0,1
1026,19.5,1
1027,14.5,1
1028,14.5,1
1029,17.0,1
1030,17.0,1
1031,17.0,1
1032,17.0,1
1033,17.0,1
1034,17.0,1
1035,14.5,1
1036,12.0,1
1037,17.0,1
1038,17.0,1
1039,14.5,1
1040,-25.5,0
1041,9.5,1
1042,19.5,1
1043,17.0,1
1044,17.0,1
1045,19.5,1
1046,19.5,1
1047,14.5,1
1048,17.0,1
1049,14.5,1
1050,-10.5,0
1051,17.0,1
1052,17.0,1
1053,-13.0,0
1054,19.5,1
1055,-13.0,0
1056,17.0,1
1057,14.5,1
1058,17.0,1
1059,9.5,1
1060,14.5,1
1061,17.0,1
1062,19.5,1
1063,-0.5,0
1064,17.0,1
1065,14.5,1
1066,17.0,1
1067,17.0,1
1068,12.0,1
1069,14.5,1
1070,17.0,1
1071,17.0,1
1072,17.0,1
1073,17.0,1
1074,14.5,1
1075,19.5,1
1076,19.5,1
1077,17.0,1
1078,19.5,1
1079,14.5,1
1080,19.5,1
1081,9.5,1
1082,19.5,1
1083,17.0,1
1084,17.0,1
1085,17.0,1
1086,14.5,1
1087,17.0,1
1088,19.5,1
1089,17.0,1
1090,17.0,1
1091,14.5,1
1092,19.5,1
1093,17.0,1
1094,17.0,1
1095,14.5,1
1096,17.0,1
1097,-3.0,0
1098,14.5,1
1099,14.5,1
1100,14.5,1
1101,17.0,1
1102,17.0,1
1103,17.0,1
1104,14.5,1
1105,19.5,1
1106,14.5,1
1107,-8.0,0
1108,-3.0,0
1109,17.0,1
1110,17.0,1
1111,14.5,1
1112,19.5,1
1113,17.0,1
1114,17.0,1
1115,9.5,1
1116,17.0,1
1117,14.5,1
1118,17.0,1
1119,2.0,1
1120,17.0,1
1121,17.0,1
1122,17.0,1
1123,17.0,1
1124,17.0,1
1125,14.5,1
1126,14.5,1
1127,19.5,1
1128,19.5,1
1129,19.5,1
1130,-8.0,0
1131,17.0,1
1132,19.5,1
1133,4.5,1
1134,17.0,1
1135,12.0,1
1136,7.0,1
1137,17.0,1
1138,17.0,1
1139,19.5,1
1140,14.5,1
1141,12.0,1
1142,19.5,1
1143,17.0,1
1144,2.0,1
1145,14.5,1
1146,19.5,1
1147,17.0,1
1148,17.0,1
1149,19.5,1
1150,9.5,1
1151,-0.5,0
1152,17.0,1
1153,4.5,1
1154,19.5,1
1155,17.0,1
1156,17.0,1
1157,17.0,1
1158,14.5,1
1159,17.0,1
1160,14.5,1
1161,14.5,1
1162,14.5,1
1163,17.0,1
1164,14.5,1
1165,4.5,1
1166,17.0,1
1167,17.0,1
1168,9.5,1
1169,17.0,1
1170,14.5,1
1171,17.0,1
1172,17.0,1
1173,14.5,1
1174,17.0,1
1175,14.5,1
1176,14.5,1
1177,17.0,1
1178,19.5,1
1179,14.5,1
1180,17.0,1
1181,17.0,1
1182,17.0,1
1183,19.5,1
1184,14.5,1
1185,14.5,1
1186,17.0,1
1187,17.0,1
1188,17.0,1
1189,17.0,1
1190,14.5,1
1191,17.0,1
1192,17.0,1
1193,17.0,1
1194,17.0,1
1195,17.0,1
1196,-5.5,0
1197,12.0,1
1198,17.0,1
1199,9.5,1
1200,19.5,1
1201,17.0,1
1202,17.0,1
1203,14.5,1
1204,14.5,1
1205,17.0,1
1206,19.5,1
1207,17.0,1
1208,17.0,1
1209,17.0,1
1210,14.5,1
1211,19.5,1
1212,14.5,1
1213,14.5,1
1214,19.5,1
1215,17.0,1
1216,17.0,1
1217,19.5,1
1218,17.0,1
1219,14.5,1
1220,19.5,1
1221,17.0,1
1222,17.0,1
1223,17.0,1
1224,17.0,1
1225,14.5,1
1226,14.5,1
1227,12.0,1
1228,12.0,1
1229,17.0,1
1230,14.5,1
1231,2.0,1
1232,17.0,1
1233,9.5,1
1234,14.5,1
1235,14.5,1
1236,17.0,1
1237,14.5,1
1238,-8.0,0
1239,17.0,1
1240,19.5,1
1241,14.5,1
1242,17.0,1
1243,14.5,1
1244,17.0,1
1245,14.5,1
1246,14.5,1
1247,14.5,1
1248,17.0,1
1249,14.5,1
1250,14.5,1
1251,7.0,1
1252,17.0,1
1253,-8.0,0
1254,-10.5,0
1255,14.5,1
1256,17.0,1
1257,19.5,1
1258,2.0,1
1259,17.0,1
1260,17.0,1
1261,2.0,1
1262,19.5,1
1263,19.5,1
1264,14.5,1
1265,-3.0,0
1266,19.5,1
1267,17.0,1
1268,14.5,1
1269,19.5,1
1270,14.5,1
1271,17.0,1
1272,14.5,1
1273,2.0,1
1274,-3.0,0
1275,14.5,1
1276,17.0,1
1277,17.0,1
1278,14.5,1
1279,17.0,1
1280,9.5,1
1281,14.5,1
1282,17.0,1
1283,4.5,1
1284,17.0,1
1285,17.0,1
1286,19.5,1
1287,17.0,1
1288,14.5,1
1289,14.5,1
1290,17.0,1
1291,17.0,1
1292,12.0,1
1293,14.5,1
1294,12.0,1
1295,19.5,1
1296,9.5,1
1297,17.0,1
1298,14.5,1
1299,14.5,1
1300,14.5,1
1301,19.5,1
1302,17.0,1
1303,17.0,1
1304,17.0,1
1305,-13.0,0
1306,14.5,1
1307,17.0,1
1308,19.5,1
1309,17.0,1
1310,12.0,1
1311,17.0,1
1312,19.5,1
1313,17.0,1
1314,-0.5,0
1315,17.0,1
1316,19.5,1
1317,14.5,1
1318,14.5,1
1319,19.5,1
1320,2.0,1
1321,19.5,1
1322,14.5,1
1323,19.5,1
1324,14.5,1
1325,19.5,1
1326,12.0,1
1327,-5.5,0
1328,12.0,1
1329,14.5,1
1330,12.0,1
1331,14.5,1
1332,14.5,1
1333,-0.5,0
1334,17.0,1
1335,17.0,1
1336,12.0,1
1337,14.5,1
1338,9.5,1
1339,9.5,1
1340,14.5,1
1341,14.5,1
1342,2.0,1
1343,14.5,1
1344,19.5,1
1345,17.0,1
1346,19.5,1
1347,14.5,1
1348,14.5,1
1349,-0.5,0
1350,14.5,1
1351,-15.5,0
1352,17.0,1
1353,19.5,1
1354,14.5,1
1355,17.0,1
1356,14.5,1
1357,17.0,1
1358,19.5,1
1359,14.5,1
1360,17.0,1
1361,17.0,1
1362,17.0,1
1363,-33.0,0
1364,19.5,1
1365,17.0,1
1366,14.5,1
1367,4.5,1
1368,17.0,1
1369,19.5,1
1370,14.5,1
1371,17.0,1
1372,17.0,1
1373,12.0,1
1374,14.5,1
1375,7.0,1
1376,17.0,1
1377,14.5,1
1378,17.0,1
1379,17.0,1
1380,14.5,1
1381,17.0,1
1382,19.5,1
1383,17.0,1
1384,17.0,1
