delivered,hops,delay
True,37,141.14999999999998
True,5,13.370000000000001
False,39,176.02999999999997
False,26,115.65999999999998
True,14,52.589999999999996
False,18,65.45
True,36,139.34
True,20,74.03999999999999
False,31,140.67000000000002
True,16,60.269999999999996
False,38,142.84
False,29,128.35000000000002
True,35,137.15999999999997
False,26,83.26
True,19,65.01
True,8,20.349999999999994
True,39,162.99000000000004
True,1,1.81
False,31,133.29999999999998
True,10,31.03
True,8,20.82
True,3,7.430000000000001
False,25,80.96000000000001
True,17,51.21000000000001
True,8,22.03
True,30,131.67000000000002
True,3,12.319999999999999
False,39,176.20999999999998
True,2,3.8200000000000003
True,7,24.430000000000003
True,25,97.32999999999998
True,6,21.229999999999997
True,22,89.98
True,2,6.630000000000001
True,2,6.42
False,25,106.36999999999998
False,48,216.32000000000002
True,1,1.67
False,23,86.33000000000001
True,14,63.35000000000001
True,12,35.18
False,31,140.71
False,32,123.87000000000002
True,18,56.42
True,24,89.73
True,14,32.74
False,36,132.99000000000004
True,4,8.059999999999999
False,40,191.76999999999998
True,28,123.77000000000001
False,30,123.98
True,34,117.85
False,25,91.0
True,37,166.77
True,6,18.840000000000003
True,10,35.23
True,5,20.68
True,12,51.37
True,24,90.07
True,16,64.10000000000001
True,16,68.24
True,11,32.949999999999996
False,35,149.45999999999998
False,39,163.09999999999994
False,30,112.15
True,5,15.180000000000001
True,10,28.990000000000002
True,36,151.48999999999998
True,26,106.68999999999998
False,36,148.51
False,33,128.98
True,15,40.92
True,18,56.08
True,19,70.46000000000001
True,15,60.22
True,11,41.370000000000005
True,17,67.22999999999999
False,39,157.27
False,17,50.27000000000002
True,3,6.68
False,26,107.64999999999999
False,43,176.02
True,5,10.66
False,32,122.64999999999999
False,30,121.42000000000003
True,9,36.16
True,8,24.819999999999997
True,19,68.39
True,12,40.26
True,9,28.349999999999998
True,26,99.58999999999999
True,9,22.96
True,30,129.28000000000003
True,13,51.410000000000004
True,35,144.28000000000003
True,27,98.12999999999998
True,16,59.339999999999996
True,11,33.11
True,8,21.1
False,43,211.67
False,26,94.22000000000001
True,5,11.620000000000001
True,3,7.8
True,23,103.12999999999998
True,2,5.59
False,37,162.59
True,17,72.85999999999999
True,25,125.96999999999998
False,12,42.540000000000006
False,28,123.13999999999999
True,6,19.95
True,7,15.690000000000001
True,13,38.84
True,2,6.2700000000000005
True,30,117.46999999999998
True,17,49.28
False,26,124.78
True,2,8.41
True,6,23.12
True,33,134.34999999999997
True,22,93.97
True,2,4.22
True,18,74.68
True,10,22.679999999999996
True,4,14.079999999999998
True,4,10.790000000000001
True,18,71.55
False,30,130.85999999999999
True,22,70.47000000000001
False,12,39.550000000000004
True,37,160.27000000000004
False,26,101.33999999999999
False,26,91.78999999999999
True,30,128.04999999999998
True,15,52.31
True,34,153.22
True,21,76.55999999999997
False,37,160.92
True,18,73.18
True,31,141.85
True,27,94.18
True,27,96.02000000000001
False,29,117.50000000000001
True,2,5.32
True,28,122.74000000000002
True,35,148.26999999999998
True,8,35.89
True,24,109.85
True,5,14.690000000000001
True,13,37.23000000000001
True,14,42.39
True,26,118.88999999999999
False,28,106.42999999999999
True,3,6.75
False,22,88.41
True,19,66.95999999999998
False,33,144.48000000000005
True,2,3.2
True,35,146.76999999999998
True,24,99.07
True,29,117.48
False,16,63.51
True,4,9.03
False,23,100.56
True,37,176.95000000000002
False,35,149.07
True,18,70.79999999999998
True,17,64.77
False,33,150.92999999999998
False,27,123.95
True,15,65.74000000000001
True,32,167.00999999999996
True,13,40.209999999999994
True,30,133.1
True,46,175.79000000000002
True,34,128.10999999999999
True,7,23.38
True,16,59.4
True,32,135.46999999999997
False,40,172.75000000000003
True,39,181.85000000000002
True,34,168.17000000000004
True,32,134.14999999999998
True,5,14.959999999999999
True,11,32.84
True,31,106.06
False,38,173.32000000000002
True,32,126.08999999999997
True,24,96.9
False,38,194.26000000000005
True,1,6.38
True,3,7.279999999999999
True,13,44.89
True,7,22.450000000000003
True,19,84.46000000000002
False,34,135.64999999999998
True,21,68.63000000000001
True,8,23.330000000000002
True,33,150.56
True,26,101.67999999999999
True,30,104.55000000000001
False,37,149.60999999999999
True,4,9.05
True,14,57.35
False,28,112.41999999999999
True,14,34.519999999999996
True,11,43.709999999999994
False,22,75.03
True,13,56.559999999999995
False,26,132.69
